Date,Log Return,sales growth,ROCE,EV-to-Sales,E/P Ratio
2012-09-28,-0.09256786063556834,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2012-10-31,0.3753819985191226,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2012-11-30,0.030695210663567153,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2012-12-31,0.12500477147293793,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-01-31,0.5792178072213501,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-02-28,0.129468379032329,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-03-28,0.0063600708267932005,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-04-30,0.13237502023922046,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-05-31,0.04603817883409922,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-06-28,-0.0693560586565322,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-07-31,0.14684888279070363,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-08-30,0.14952381525932387,2.073976636248769,-4.4796508950318294,0.24920108563349933,-6.478900738786305
2013-09-30,0.08536334519005732,3.0999931848684947,-3.4881681674607226,1.4510984719853874,-6.350085687705795
2013-10-31,0.042020452327182,3.0999931848684947,-3.4881681674607226,1.4510984719853874,-6.350085687705795
2013-11-29,0.12604563251359513,3.0999931848684947,-3.4881681674607226,1.4510984719853874,-6.350085687705795
2013-12-31,0.006458090823465035,3.1917718071761416,-3.0652764067111447,1.5803180138602482,-6.110508553994747
2014-01-31,0.10597690638593023,3.1917718071761416,-3.0652764067111447,1.5803180138602482,-6.110508553994747
2014-02-28,0.08496733958415632,3.1917718071761416,-3.0652764067111447,1.5803180138602482,-6.110508553994747
2014-03-31,-0.2357726219353917,3.1795901496049273,-3.3114036036691714,1.4816727204181228,-5.982383677756927
2014-04-30,-0.08904065316946515,3.1795901496049273,-3.3114036036691714,1.4816727204181228,-5.982383677756927
2014-05-30,0.2603988639541388,3.1795901496049273,-3.3114036036691714,1.4816727204181228,-5.982383677756927
2014-06-30,0.0530627853603199,3.2325893629959594,-3.033460241526665,1.6574468191204121,-5.918675193536592
2014-07-31,-0.041427371319102714,3.2325893629959594,-3.033460241526665,1.6574468191204121,-5.918675193536592
2014-08-29,0.12214723517108662,3.2325893629959594,-3.033460241526665,1.6574468191204121,-5.918675193536592
2014-09-30,-0.05699092071431857,3.3118268604424497,-3.1751643688129114,1.626216363672918,-6.125201715316994
2014-10-31,-0.1386421470308416,3.3118268604424497,-3.1751643688129114,1.626216363672918,-6.125201715316994
2014-11-28,-0.12508171711177632,3.3118268604424497,-3.1751643688129114,1.626216363672918,-6.125201715316994
2014-12-31,-0.01447273297323199,3.2709026501561667,-2.8307174763406504,1.2874128115597734,-5.508811692507178
2015-01-30,0.2571875123792867,3.2709026501561667,-2.8307174763406504,1.2874128115597734,-5.508811692507178
2015-02-27,0.07226801598909474,3.2709026501561667,-2.8307174763406504,1.2874128115597734,-5.508811692507178
2015-03-31,-0.13078276952427492,3.172190843246215,-4.726780758603528,1.44771866310689,-6.969647933142252
2015-04-30,0.28932465226053955,3.172190843246215,-4.726780758603528,1.44771866310689,-6.969647933142252
2015-05-29,0.11457934296536337,3.172190843246215,-4.726780758603528,1.44771866310689,-6.969647933142252
2015-06-30,0.051346180148756214,3.1224133814630783,-4.573669918016104,1.8681493596343326,-7.321372303593062
2015-07-31,0.19723148990551473,3.1224133814630783,-4.573669918016104,1.8681493596343326,-7.321372303593062
2015-08-31,0.006278918615956847,3.1224133814630783,-4.573669918016104,1.8681493596343326,-7.321372303593062
2015-09-30,-0.10794285315649482,3.1500529389328866,-4.405118164439524,1.91975682729141,-7.305756151005209
2015-10-30,0.048393444656436815,3.1500529389328866,-4.405118164439524,1.91975682729141,-7.305756151005209
2015-11-30,0.12922015962886774,3.1500529389328866,-4.405118164439524,1.91975682729141,-7.305756151005209
2015-12-31,-0.07533748995029964,3.127019274414539,-3.8726879312034863,1.9780868807505345,-7.031888041516424
2016-01-29,-0.21947832177801646,3.127019274414539,-3.8726879312034863,1.9780868807505345,-7.031888041516424
2016-02-29,0.016950552393067628,3.127019274414539,-3.8726879312034863,1.9780868807505345,-7.031888041516424
2016-03-31,0.09022676451655252,3.19656886434566,-4.162461756146457,1.817004774584093,-7.366623073483682
2016-04-29,-0.1270822750444545,3.19656886434566,-4.162461756146457,1.817004774584093,-7.366623073483682
2016-05-31,0.13040255478248983,3.19656886434566,-4.162461756146457,1.817004774584093,-7.366623073483682
2016-06-30,-0.1144250834936273,3.332193795832091,-3.6042709162358815,1.6514432065791305,-6.868362914734013
2016-07-29,-0.0025174133877986413,3.332193795832091,-3.6042709162358815,1.6514432065791305,-6.868362914734013
2016-08-31,0.06573640217482879,3.332193795832091,-3.6042709162358815,1.6514432065791305,-6.868362914734013
2016-09-30,0.011224669927892934,3.457722632133514,-2.939873100173299,1.6674237616327536,-6.709468809496173
2016-10-31,0.23670915355726266,3.457722632133514,-2.939873100173299,1.6674237616327536,-6.709468809496173
2016-11-30,-0.065099283324829,3.457722632133514,-2.939873100173299,1.6674237616327536,-6.709468809496173
2016-12-30,0.056493450103448625,3.457722632133514,-2.939873100173299,1.6674237616327536,-6.709468809496173
2017-01-31,0.12803369761317346,3.457722632133514,-2.939873100173299,1.6674237616327536,-6.709468809496173
